Company,Revenue_M$,EBITDA_M$,EBITDA_Margin,Revenue_Growth_1yr,Revenue_CAGR_3yr,EBITDA_Growth_1yr,EBITDA_CAGR_3yr,Gross_Margin,Net_Margin,ROA,ROE,ROIC,Debt_M$,Equity_M$,Debt_to_EBITDA,Debt_to_Equity,Current_Ratio,Quick_Ratio,Interest_Coverage,Working_Capital_M$,Capex_to_Sales,Free_Cash_Flow_Margin,Asset_Turnover,Inventory_Turnover,DSO,DPO,DIO,Cash_Conversion_Cycle,Customer_Concentration,Employee_Count,Revenue_per_Employee,IRR_Y5
Company_01386,331.94,72.69,0.219,0.055,0.245,0.357,0.115,0.726,0.071,0.198,0.281,0.23,448.5,733.81,6.17,0.61,2.21,0.89,8.62,6.64,0.023,0.138,0.51,9.93,62.2,31.1,65.1,96.2,0.394,4956,66977.0,0.08
Company_01387,775.74,51.2,0.066,0.238,0.247,-0.193,0.241,0.35,0.065,0.072,0.129,0.116,150.02,224.97,2.93,0.67,2.78,0.96,4.58,15.51,0.04,0.163,1.71,10.22,45.0,28.4,64.6,81.2,0.319,3857,201125.0,0.046
Company_01388,139.56,46.89,0.336,-0.098,0.131,0.019,0.289,0.559,0.179,0.193,0.249,0.166,125.67,236.96,2.68,0.53,1.03,1.88,4.28,2.79,0.048,0.126,0.96,2.37,81.3,43.7,92.5,130.1,0.431,4277,32630.0,0.148
Company_01389,970.12,384.17,0.396,0.108,0.163,0.257,0.201,0.722,0.067,0.165,0.138,0.052,2089.88,2804.54,5.44,0.75,2.96,1.69,3.35,19.4,0.038,0.128,1.49,3.88,62.4,35.7,36.8,63.5,0.13,1265,766893.0,0.074
Company_01390,459.25,88.18,0.192,-0.013,0.235,-0.107,0.207,0.509,0.155,0.074,0.174,0.153,394.16,769.78,4.47,0.51,2.95,0.86,13.87,9.19,0.079,0.079,1.8,5.73,82.2,45.2,73.3,110.3,0.188,4688,97963.0,0.153
Company_01391,243.69,13.16,0.054,0.197,0.085,-0.153,0.112,0.422,0.192,0.016,0.143,0.212,41.59,89.32,3.16,0.47,1.53,1.37,13.3,4.87,0.011,0.005,1.88,10.01,57.0,44.9,87.8,99.9,0.479,1200,203075.0,0.302
Company_01392,82.76,9.02,0.109,-0.083,-0.009,0.178,-0.061,0.59,0.266,0.063,0.07,0.244,40.23,90.6,4.46,0.44,1.85,0.97,9.54,1.66,0.094,0.059,0.85,8.35,43.0,64.0,62.8,41.8,0.247,2112,39186.0,0.038
Company_01393,178.06,49.5,0.278,0.233,0.151,-0.194,0.167,0.303,0.089,0.034,0.132,0.186,322.74,589.68,6.52,0.55,2.13,1.16,5.54,3.56,0.057,-0.04,1.98,5.52,65.3,63.8,33.8,35.3,0.382,2343,75997.0,0.111
Company_01394,524.58,138.49,0.264,0.235,0.238,0.281,-0.041,0.297,0.072,0.091,0.289,0.091,512.41,1493.37,3.7,0.34,2.69,1.56,11.85,10.49,0.082,0.155,1.19,7.01,47.3,29.5,39.1,56.9,0.102,475,1104379.0,0.265
Company_01395,343.63,112.02,0.326,0.233,0.159,-0.16,-0.002,0.7,0.069,0.189,0.078,0.123,115.38,1194.59,1.03,0.1,1.12,0.87,3.92,6.87,0.027,0.199,1.59,10.56,75.8,35.1,86.5,127.2,0.04,677,507578.0,0.229
Company_01396,830.59,115.45,0.139,-0.039,0.191,0.115,0.183,0.225,0.121,0.107,0.189,0.081,623.43,555.81,5.4,1.12,1.45,0.61,12.55,16.61,0.042,0.101,0.94,10.8,44.3,35.5,59.8,68.6,0.283,3650,227559.0,-0.005
Company_01397,436.58,138.4,0.317,0.152,0.077,0.244,0.163,0.682,0.202,0.095,0.292,0.118,967.42,1541.79,6.99,0.63,2.32,1.99,12.61,8.73,0.097,0.115,0.79,3.67,64.9,55.3,83.4,93.0,0.306,1104,395453.0,0.142
Company_01398,256.23,74.56,0.291,-0.094,-0.021,-0.055,0.026,0.374,0.208,0.051,0.055,0.162,97.67,888.66,1.31,0.11,1.12,1.14,5.72,5.12,0.059,0.05,1.42,8.1,40.7,61.7,78.5,57.5,0.407,274,935146.0,0.141
Company_01399,620.97,101.22,0.163,0.239,0.001,-0.138,0.209,0.49,0.079,0.128,0.067,0.147,472.7,819.09,4.67,0.58,2.79,1.6,8.37,12.42,0.042,0.032,0.5,8.54,83.3,55.7,35.9,63.5,0.074,392,1584107.0,0.066
Company_01400,709.71,171.04,0.241,0.189,0.245,-0.095,0.276,0.526,0.057,0.097,0.277,0.225,579.83,1683.2,3.39,0.34,2.77,2.0,9.98,14.19,0.1,0.156,1.83,2.9,64.8,31.3,86.7,120.2,0.335,1885,376504.0,0.204
Company_01401,175.37,17.89,0.102,0.112,0.098,0.313,0.118,0.66,0.146,0.157,0.234,0.091,78.54,150.16,4.39,0.52,1.2,0.56,4.64,3.51,0.072,0.002,1.81,2.89,72.2,44.7,40.5,68.0,0.163,1557,112633.0,0.04
Company_01402,175.94,36.6,0.208,0.192,-0.046,0.223,0.171,0.73,0.06,0.108,0.186,0.137,104.31,436.58,2.85,0.24,1.83,1.17,6.38,3.52,0.083,0.152,1.93,9.49,39.9,47.2,32.3,25.0,0.398,1067,164892.0,0.141
Company_01403,46.3,16.58,0.358,-0.062,0.237,-0.081,0.009,0.683,0.248,0.178,0.184,0.176,91.52,139.97,5.52,0.65,2.02,0.53,9.79,0.93,0.027,0.106,0.88,5.93,77.0,46.4,25.7,56.3,0.016,351,131909.0,0.1
Company_01404,739.04,145.59,0.197,0.111,0.099,0.23,0.288,0.543,0.043,0.159,0.294,0.246,227.12,1057.93,1.56,0.21,2.3,1.47,9.17,14.78,0.011,0.01,0.62,6.26,46.9,60.3,96.1,82.7,0.25,3632,203480.0,0.125
Company_01405,667.17,229.51,0.344,0.017,0.201,0.225,0.009,0.409,0.231,0.038,0.055,0.093,353.45,1010.46,1.54,0.35,2.08,0.75,7.72,13.34,0.092,0.127,0.84,9.09,51.1,34.7,64.1,80.5,0.292,3849,173336.0,0.24
Company_01406,479.88,123.33,0.257,0.289,0.115,0.399,0.255,0.516,0.032,0.036,0.118,0.217,522.92,1306.77,4.24,0.4,1.0,1.91,4.98,9.6,0.037,0.165,1.18,11.17,31.3,21.2,26.7,36.8,0.015,337,1423976.0,0.141
Company_01407,845.73,98.95,0.117,0.243,-0.019,0.035,0.271,0.218,0.246,0.015,0.129,0.174,289.92,477.19,2.93,0.61,1.26,1.81,8.99,16.91,0.079,0.017,0.27,5.79,34.0,66.5,39.8,7.3,0.332,2287,369799.0,0.238
Company_01408,807.61,204.33,0.253,0.193,0.135,0.319,0.188,0.347,0.196,0.08,0.08,0.077,1336.32,1859.63,6.54,0.72,2.66,1.48,6.82,16.15,0.049,0.021,1.12,9.72,41.1,29.6,32.0,43.5,0.046,4672,172862.0,0.098
Company_01409,589.5,133.82,0.227,0.273,0.249,0.068,0.225,0.42,0.11,0.02,0.139,0.207,287.71,696.41,2.15,0.41,2.58,0.74,4.69,11.79,0.089,-0.04,0.24,4.33,35.7,24.6,99.9,111.0,0.167,3373,174770.0,0.321
Company_01410,869.59,165.22,0.19,0.039,-0.04,0.339,0.083,0.392,0.134,0.095,0.143,0.085,933.49,1534.25,5.65,0.61,1.03,1.02,5.92,17.39,0.033,-0.04,1.64,6.13,31.4,38.2,85.4,78.6,0.134,2486,349795.0,-0.022
Company_01411,213.78,19.67,0.092,0.26,0.203,-0.145,0.268,0.257,0.209,0.056,0.29,0.19,134.74,67.17,6.85,2.01,1.03,1.97,5.09,4.28,0.058,0.137,1.01,2.5,52.4,53.6,36.8,35.6,0.06,1861,114874.0,0.035
Company_01412,120.8,23.68,0.196,0.03,0.021,-0.095,0.197,0.23,0.072,0.105,0.161,0.098,70.09,108.39,2.96,0.65,2.7,0.97,6.93,2.42,0.043,-0.034,0.65,11.06,76.4,61.8,80.1,94.7,0.457,2323,52002.0,-0.029
Company_01413,277.05,20.78,0.075,0.193,0.068,0.31,0.031,0.452,0.269,0.04,0.284,0.144,135.28,196.9,6.51,0.69,1.72,1.99,14.53,5.54,0.072,-0.031,0.29,11.97,44.9,54.6,61.3,51.6,0.297,4430,62540.0,0.022
Company_01414,66.52,5.65,0.085,0.195,0.062,0.292,-0.086,0.245,0.155,0.114,0.253,0.207,16.39,47.0,2.9,0.35,1.81,1.73,14.18,1.33,0.058,0.128,1.27,9.19,52.5,57.0,72.0,67.5,0.01,4012,16580.0,0.207
Company_01415,535.86,105.03,0.196,-0.093,0.22,-0.017,0.116,0.372,0.233,0.194,0.234,0.177,453.73,840.72,4.32,0.54,2.89,1.3,10.61,10.72,0.076,0.101,1.07,11.39,63.1,53.8,36.7,46.0,0.399,4172,128442.0,0.024
Company_01416,937.24,147.15,0.157,0.044,0.101,0.158,0.236,0.485,0.162,0.131,0.133,0.198,147.15,565.58,1.0,0.26,2.79,1.78,11.71,18.74,0.049,0.077,1.71,5.59,52.0,53.2,58.8,57.6,0.155,2424,386650.0,0.206
Company_01417,48.95,18.31,0.374,-0.092,0.084,0.03,0.244,0.326,0.147,0.117,0.157,0.211,47.42,196.93,2.59,0.24,1.78,1.96,7.11,0.98,0.08,0.096,1.86,9.03,87.4,62.5,68.6,93.5,0.05,3861,12678.0,0.182
Company_01418,130.89,23.69,0.181,0.299,0.195,-0.194,0.234,0.248,0.151,0.16,0.061,0.057,31.27,206.34,1.32,0.15,2.6,0.93,12.07,2.62,0.056,0.13,1.13,2.53,43.1,29.4,62.4,76.1,0.249,119,1099916.0,0.362
Company_01419,457.68,144.17,0.315,-0.051,-0.035,-0.184,-0.014,0.459,0.122,0.011,0.144,0.146,170.12,1182.34,1.18,0.14,1.91,0.68,13.03,9.15,0.02,0.097,0.73,6.82,56.8,23.4,80.0,113.4,0.388,1248,366731.0,0.263
Company_01420,934.54,220.55,0.236,0.117,-0.024,-0.167,0.07,0.469,0.225,0.064,0.268,0.247,1537.23,2567.78,6.97,0.6,1.86,0.62,12.39,18.69,0.076,0.179,0.53,10.09,81.4,51.1,47.7,78.0,0.47,2293,407562.0,0.214
Company_01421,322.99,95.61,0.296,0.216,-0.043,0.156,0.146,0.749,0.257,0.198,0.245,0.209,534.46,761.21,5.59,0.7,1.04,1.41,4.53,6.46,0.049,0.008,0.3,2.5,49.0,55.8,39.3,32.5,0.421,1433,225394.0,0.195
Company_01422,512.16,72.21,0.141,-0.019,0.156,-0.032,0.167,0.277,0.259,0.159,0.252,0.123,218.07,741.44,3.02,0.29,2.59,0.99,12.67,10.24,0.081,0.106,0.99,3.77,39.6,21.2,72.7,91.1,0.291,3417,149886.0,0.089
Company_01423,51.16,19.44,0.38,0.094,0.108,-0.114,0.034,0.569,0.054,0.027,0.105,0.107,98.95,95.88,5.09,1.03,2.62,1.08,12.57,1.02,0.092,0.008,1.09,5.0,84.9,53.7,72.5,103.7,0.119,2117,24166.0,0.121
Company_01424,156.86,37.02,0.236,0.143,0.213,0.365,0.177,0.392,0.233,0.072,0.103,0.191,154.0,220.84,4.16,0.7,2.53,0.73,11.28,3.14,0.092,0.174,0.58,10.78,65.3,39.2,65.3,91.4,0.086,3201,49003.0,0.203
Company_01425,986.76,336.49,0.341,-0.036,0.1,-0.127,0.136,0.274,0.076,0.094,0.216,0.077,2190.55,3009.15,6.51,0.73,2.93,0.63,12.98,19.74,0.08,0.162,0.33,2.39,61.1,54.0,61.1,68.2,0.367,552,1787609.0,0.133
Company_01426,965.47,171.85,0.178,0.211,0.017,0.204,0.127,0.436,0.023,0.188,0.213,0.227,427.91,1489.91,2.49,0.29,1.1,0.98,12.94,19.31,0.021,0.187,1.53,6.04,37.9,48.8,66.6,55.7,0.388,4936,195598.0,0.325
Company_01427,14.89,1.27,0.085,0.02,0.192,0.336,0.165,0.457,0.097,0.121,0.099,0.066,5.17,4.8,4.07,1.08,2.93,0.76,9.49,0.3,0.097,-0.031,1.19,3.32,34.4,37.6,77.9,74.7,0.028,475,31347.0,-0.024
Company_01428,952.29,272.35,0.286,-0.016,0.038,-0.102,0.141,0.418,0.102,0.025,0.23,0.162,283.24,950.67,1.04,0.3,2.72,0.6,10.78,19.05,0.057,0.169,1.79,2.06,85.8,66.9,21.6,40.5,0.065,1952,487853.0,0.341
Company_01429,642.73,34.06,0.053,0.123,0.231,-0.071,-0.033,0.659,0.247,0.107,0.144,0.219,182.56,167.65,5.36,1.09,1.24,0.56,6.51,12.85,0.092,-0.019,1.62,8.06,34.8,25.9,51.3,60.2,0.037,443,1450858.0,0.055
Company_01430,869.24,187.76,0.216,0.064,0.025,0.144,0.25,0.704,0.228,0.065,0.272,0.194,839.29,1465.41,4.47,0.57,1.08,0.59,3.49,17.38,0.072,0.183,0.36,8.4,59.3,31.4,22.3,50.2,0.164,222,3915495.0,0.101
Company_01431,460.19,53.84,0.117,0.268,0.0,0.105,-0.004,0.289,0.044,0.074,0.141,0.147,255.2,536.19,4.74,0.48,1.04,1.58,8.97,9.2,0.029,0.173,1.35,11.6,75.6,30.0,89.1,134.7,0.257,3451,133350.0,0.04
Company_01432,520.44,140.52,0.27,0.252,0.098,0.113,0.198,0.301,0.111,0.032,0.107,0.096,751.78,913.41,5.35,0.82,1.23,1.42,8.79,10.41,0.067,0.137,1.82,7.87,73.7,25.3,71.0,119.4,0.116,1371,379606.0,0.256
Company_01433,493.96,194.13,0.393,0.093,-0.035,0.133,-0.029,0.453,0.09,0.097,0.099,0.17,638.69,1022.33,3.29,0.62,2.64,1.54,12.35,9.88,0.043,-0.043,1.39,8.61,69.9,31.7,98.3,136.5,0.145,4232,116720.0,0.313
Company_01434,670.2,142.75,0.213,0.044,-0.039,0.37,0.164,0.392,0.187,0.137,0.275,0.243,276.94,1187.56,1.94,0.23,1.74,1.72,4.49,13.4,0.012,-0.032,1.24,7.97,31.9,52.3,71.7,51.3,0.306,4839,138500.0,0.172
Company_01435,148.25,49.81,0.336,0.03,0.099,-0.168,0.258,0.692,0.172,0.154,0.265,0.069,105.1,193.77,2.11,0.54,2.24,1.43,13.04,2.97,0.086,0.155,1.82,5.41,69.4,33.0,39.9,76.3,0.123,4910,30193.0,0.238
Company_01436,39.67,9.04,0.228,0.007,0.015,0.256,-0.096,0.798,0.21,0.142,0.156,0.056,48.73,41.08,5.39,1.19,1.79,1.22,12.28,0.79,0.098,0.19,1.24,3.35,40.3,40.1,60.7,60.9,0.29,3981,9965.0,0.059
Company_01437,314.85,70.53,0.224,0.118,-0.047,-0.06,0.292,0.309,0.275,0.135,0.11,0.134,490.89,499.03,6.96,0.98,2.14,1.73,11.46,6.3,0.057,0.031,1.89,3.76,64.2,62.9,97.0,98.3,0.005,577,545667.0,0.016
Company_01438,707.63,266.07,0.376,0.222,0.039,0.024,-0.088,0.658,0.138,0.175,0.121,0.168,984.46,3113.05,3.7,0.32,1.56,1.44,4.38,14.15,0.039,0.035,1.52,11.02,67.7,55.6,45.8,57.9,0.022,1650,428867.0,0.256
Company_01439,209.83,75.75,0.361,0.024,0.093,-0.146,-0.095,0.564,0.204,0.073,0.146,0.122,153.77,449.76,2.03,0.34,2.8,1.55,6.17,4.2,0.029,0.074,0.52,7.12,45.1,69.6,73.1,48.6,0.209,3801,55204.0,0.107
Company_01440,676.7,219.93,0.325,-0.024,0.068,0.067,0.243,0.587,0.277,0.051,0.061,0.194,312.3,2344.36,1.42,0.13,2.24,1.15,7.44,13.53,0.033,-0.046,0.33,9.63,57.2,25.5,24.6,56.3,0.397,1192,567701.0,0.335
Company_01441,970.21,149.41,0.154,0.09,-0.009,0.283,0.183,0.359,0.172,0.027,0.067,0.155,581.2,1761.26,3.89,0.33,1.93,1.18,2.01,19.4,0.085,0.089,1.74,4.71,50.1,31.0,36.4,55.5,0.039,3383,286790.0,-0.03
Company_01442,102.96,24.81,0.241,-0.072,0.124,-0.141,-0.058,0.258,0.106,0.041,0.282,0.119,131.49,258.09,5.3,0.51,1.55,1.17,4.6,2.06,0.024,0.072,1.33,11.42,87.4,56.6,46.0,76.8,0.218,4801,21446.0,-0.006
Company_01443,675.88,86.51,0.128,0.181,0.163,-0.035,0.275,0.526,0.133,0.038,0.242,0.209,398.81,603.56,4.61,0.66,1.59,0.93,10.63,13.52,0.094,0.03,1.53,8.53,80.8,33.7,81.2,128.3,0.021,1442,468710.0,0.191
Company_01444,449.31,92.11,0.205,0.107,0.153,0.024,0.169,0.568,0.231,0.183,0.253,0.07,253.3,948.78,2.75,0.27,2.39,1.43,9.48,8.99,0.048,0.117,0.28,11.36,42.9,31.2,52.2,63.9,0.443,3932,114270.0,0.142
Company_01445,869.46,190.41,0.219,0.099,0.068,-0.138,-0.056,0.778,0.222,0.044,0.17,0.058,870.17,648.05,4.57,1.34,1.82,1.16,14.3,17.39,0.069,-0.043,0.31,4.38,34.3,52.7,78.4,60.0,0.185,4888,177876.0,0.15
Company_01446,185.38,63.21,0.341,0.02,-0.009,0.257,0.244,0.605,0.23,0.028,0.141,0.061,269.27,681.23,4.26,0.4,2.13,0.57,4.2,3.71,0.048,0.035,1.8,3.96,61.1,30.0,70.6,101.7,0.171,2270,81665.0,0.062
Company_01447,695.7,253.23,0.364,0.262,0.1,0.272,0.092,0.466,0.228,0.086,0.073,0.213,582.43,1875.41,2.3,0.31,2.97,1.55,8.73,13.91,0.1,-0.006,0.58,5.87,49.3,22.5,28.0,54.8,0.309,202,3444059.0,0.381
Company_01448,839.73,163.75,0.195,-0.064,0.217,0.302,0.011,0.796,0.278,0.042,0.19,0.21,566.58,1154.77,3.46,0.49,1.63,1.25,2.26,16.79,0.044,0.117,1.61,11.52,85.3,30.7,24.5,79.1,0.113,2533,331516.0,0.014
Company_01449,945.17,52.93,0.056,0.248,0.091,0.15,0.23,0.424,0.234,0.035,0.236,0.216,330.81,507.8,6.25,0.65,1.82,0.78,9.57,18.9,0.044,0.011,0.31,9.64,44.9,25.4,51.6,71.1,0.473,3269,289131.0,0.156
Company_01450,686.42,241.62,0.352,0.051,0.009,0.104,0.195,0.298,0.26,0.079,0.099,0.107,1333.74,2749.66,5.52,0.49,1.64,0.59,3.37,13.73,0.088,0.07,1.43,10.14,45.2,27.5,25.6,43.3,0.356,4520,151863.0,-0.068
Company_01451,502.2,55.74,0.111,0.252,-0.022,-0.042,0.149,0.571,0.181,0.185,0.147,0.148,366.77,294.84,6.58,1.24,1.18,0.79,3.16,10.04,0.02,-0.011,1.78,11.41,49.6,53.2,72.9,69.3,0.022,1394,360258.0,0.079
Company_01452,621.67,166.61,0.268,0.192,0.233,0.193,0.259,0.36,0.2,0.016,0.282,0.114,1057.97,1135.05,6.35,0.93,2.88,1.27,7.72,12.43,0.026,0.021,1.3,4.57,35.8,25.7,28.3,38.4,0.389,2777,223864.0,0.026
Company_01453,870.22,51.34,0.059,-0.058,0.173,0.067,0.245,0.753,0.291,0.049,0.261,0.167,127.32,454.68,2.48,0.28,2.5,0.6,6.38,17.4,0.098,0.142,1.95,11.41,61.5,41.4,59.2,79.3,0.415,4059,214393.0,0.085
Company_01454,574.9,109.23,0.19,0.233,0.044,0.382,-0.009,0.457,0.264,0.167,0.25,0.219,673.95,923.89,6.17,0.73,2.23,1.42,7.87,11.5,0.018,0.067,0.87,7.7,45.8,62.9,45.3,28.2,0.269,1093,525984.0,0.125
Company_01455,40.08,15.83,0.395,0.173,0.039,0.381,0.251,0.29,0.238,0.057,0.06,0.054,74.24,80.94,4.69,0.92,1.05,0.91,2.36,0.8,0.014,0.2,0.25,9.91,54.3,24.0,65.8,96.1,0.382,410,97756.0,0.242
Company_01456,931.64,79.19,0.085,-0.087,0.219,0.343,0.05,0.285,0.212,0.094,0.091,0.164,536.12,250.32,6.77,2.14,2.67,1.95,2.97,18.63,0.078,-0.008,1.52,10.87,66.5,41.2,28.6,53.9,0.11,3695,252135.0,-0.123
Company_01457,692.63,137.14,0.198,-0.047,0.003,0.016,0.073,0.59,0.12,0.029,0.127,0.09,298.97,612.6,2.18,0.49,1.14,1.68,2.94,13.85,0.052,0.018,1.12,6.28,65.1,69.7,36.4,31.8,0.251,4143,167181.0,0.023
Company_01458,679.75,107.4,0.158,0.154,0.111,0.021,0.289,0.42,0.173,0.161,0.126,0.224,328.64,360.51,3.06,0.91,1.26,0.67,3.67,13.6,0.058,0.159,1.42,4.06,48.6,61.4,94.7,81.9,0.065,3787,179496.0,0.204
Company_01459,223.52,82.03,0.367,0.165,0.164,0.312,0.204,0.418,0.035,0.15,0.082,0.241,278.9,290.72,3.4,0.96,1.17,1.57,7.61,4.47,0.056,-0.026,1.9,8.23,38.9,26.0,38.9,51.8,0.479,798,280100.0,0.29
Company_01460,662.3,234.45,0.354,0.199,0.069,0.237,0.029,0.567,0.137,0.034,0.122,0.216,267.27,1221.81,1.14,0.22,1.29,1.75,7.73,13.25,0.089,0.044,0.65,2.67,70.9,20.8,73.0,123.1,0.01,1054,628368.0,0.335
Company_01461,399.93,53.19,0.133,0.188,-0.038,0.223,0.159,0.333,0.051,0.19,0.157,0.057,206.38,506.12,3.88,0.41,2.28,1.8,6.21,8.0,0.044,0.008,0.57,8.64,31.3,35.2,73.2,69.3,0.071,2805,142578.0,0.141
Company_01462,654.72,51.07,0.078,0.164,0.018,-0.032,0.116,0.287,0.224,0.122,0.062,0.111,340.13,271.23,6.66,1.25,1.16,1.32,3.36,13.09,0.082,0.115,0.94,9.86,73.2,64.3,44.4,53.3,0.186,3530,185473.0,-0.071
Company_01463,115.53,31.08,0.269,0.206,0.221,0.3,-0.053,0.594,0.27,0.162,0.151,0.096,183.06,156.22,5.89,1.17,2.27,1.79,13.18,2.31,0.062,0.128,1.25,10.29,64.5,22.7,97.3,139.1,0.263,265,435962.0,0.25
Company_01464,661.27,111.09,0.168,0.13,0.107,0.148,0.255,0.203,0.069,0.155,0.174,0.215,244.4,969.83,2.2,0.25,2.55,1.65,10.16,13.23,0.024,0.113,1.75,6.24,55.5,32.5,72.6,95.6,0.298,3200,206647.0,0.187
Company_01465,999.42,284.83,0.285,0.004,0.195,0.068,0.229,0.744,0.089,0.109,0.06,0.054,766.19,2298.23,2.69,0.33,1.92,1.35,10.2,19.99,0.075,0.018,1.25,3.59,43.2,63.7,68.6,48.1,0.04,2361,423304.0,0.158
Company_01466,57.73,3.52,0.061,0.265,0.117,0.319,0.211,0.31,0.26,0.152,0.219,0.235,24.15,26.66,6.86,0.91,2.28,1.13,6.05,1.15,0.019,-0.022,1.67,3.46,80.8,44.9,95.4,131.3,0.064,1106,52197.0,0.047
Company_01467,977.4,94.81,0.097,-0.093,0.233,0.037,0.124,0.469,0.184,0.055,0.07,0.167,128.94,835.61,1.36,0.15,1.71,0.5,13.6,19.55,0.032,-0.001,1.27,5.16,34.8,25.9,60.4,69.3,0.192,1246,784430.0,0.146
Company_01468,412.84,119.72,0.29,0.047,0.223,0.192,-0.012,0.327,0.185,0.014,0.212,0.199,445.36,743.87,3.72,0.6,2.49,1.42,5.97,8.26,0.06,0.1,1.6,10.65,85.4,44.5,30.2,71.1,0.177,3047,135491.0,0.17
Company_01469,872.05,108.13,0.124,0.192,0.095,0.08,0.254,0.331,0.178,0.075,0.299,0.141,683.38,338.84,6.32,2.02,2.97,0.87,10.45,17.44,0.05,0.152,1.66,11.13,41.0,31.0,70.5,80.5,0.346,2752,316879.0,0.174
Company_01470,784.56,274.6,0.35,0.071,0.045,0.156,0.041,0.701,0.081,0.039,0.065,0.191,1422.43,1886.56,5.18,0.75,1.68,0.84,13.94,15.69,0.056,-0.016,1.99,5.11,42.6,24.3,23.4,41.7,0.315,2512,312325.0,0.249
Company_01471,571.35,40.57,0.071,-0.09,0.131,-0.176,-0.092,0.551,0.088,0.196,0.118,0.117,279.53,255.64,6.89,1.09,2.22,0.71,14.92,11.43,0.055,0.039,1.43,10.04,72.8,58.7,93.4,107.5,0.468,3771,151512.0,0.018
Company_01472,741.06,92.63,0.125,-0.074,0.152,0.077,0.293,0.387,0.286,0.185,0.082,0.182,634.52,921.36,6.85,0.69,2.94,1.53,4.67,14.82,0.06,0.014,0.35,6.12,89.9,49.1,47.2,88.0,0.386,3502,211611.0,-0.072
Company_01473,879.73,351.01,0.399,0.159,0.1,0.134,0.244,0.351,0.223,0.037,0.142,0.136,1934.07,1338.26,5.51,1.45,1.06,1.52,13.29,17.59,0.036,-0.005,1.69,5.04,43.0,69.5,85.4,58.9,0.353,1951,450912.0,0.219
Company_01474,410.1,82.84,0.202,0.286,0.197,0.096,0.149,0.328,0.045,0.075,0.259,0.236,324.73,830.89,3.92,0.39,1.56,1.13,11.27,8.2,0.047,0.074,1.35,9.6,66.2,39.1,76.6,103.7,0.034,1779,230523.0,0.263
Company_01475,333.76,98.79,0.296,0.121,0.005,0.308,-0.095,0.533,0.082,0.107,0.282,0.236,468.26,928.53,4.74,0.5,1.32,1.2,2.94,6.68,0.077,0.056,0.61,5.44,82.4,44.8,83.5,121.1,0.209,2016,165556.0,0.116
Company_01476,670.92,76.48,0.114,0.103,0.05,-0.013,-0.009,0.638,0.196,0.086,0.26,0.164,440.52,459.47,5.76,0.96,2.22,1.64,4.28,13.42,0.088,0.117,1.12,3.84,54.1,27.3,79.2,106.0,0.29,3092,216986.0,-0.011
Company_01477,809.77,212.97,0.263,0.027,0.156,0.33,0.081,0.352,0.099,0.143,0.223,0.205,587.8,1841.63,2.76,0.32,1.35,0.73,8.64,16.2,0.013,0.075,1.71,7.39,70.7,61.5,87.4,96.6,0.28,1800,449872.0,0.23
Company_01478,764.66,232.46,0.304,0.003,0.024,0.042,0.151,0.399,0.09,0.106,0.229,0.198,871.72,1799.17,3.75,0.48,1.63,0.84,8.62,15.29,0.045,0.182,0.54,8.39,35.4,30.3,95.1,100.2,0.03,3621,211174.0,0.179
Company_01479,799.84,127.97,0.16,-0.092,0.082,0.217,0.183,0.632,0.077,0.117,0.08,0.191,639.85,629.05,5.0,1.02,1.87,1.91,12.21,16.0,0.044,0.163,1.36,8.88,43.7,32.8,81.3,92.2,0.238,2972,269125.0,-0.013
Company_01480,441.23,150.02,0.34,0.009,0.239,-0.148,0.215,0.642,0.072,0.139,0.112,0.245,394.55,1670.62,2.63,0.24,1.11,2.0,7.63,8.82,0.058,0.027,1.94,5.84,89.5,65.1,84.8,109.2,0.448,4145,106449.0,0.242
Company_01481,819.66,213.93,0.261,0.08,0.138,-0.08,0.122,0.324,0.192,0.014,0.141,0.226,1056.81,1007.07,4.94,1.05,1.59,1.27,11.33,16.39,0.01,0.113,1.22,7.37,64.1,55.9,95.3,103.5,0.43,1254,653636.0,0.158
Company_01482,129.01,24.0,0.186,-0.021,0.235,0.257,0.162,0.429,0.274,0.012,0.063,0.199,45.12,101.82,1.88,0.44,1.45,1.19,14.94,2.58,0.037,0.113,1.97,8.77,60.3,40.0,26.0,46.3,0.416,1565,82435.0,0.182
Company_01483,549.04,134.51,0.245,-0.065,0.167,-0.193,0.224,0.722,0.121,0.044,0.255,0.066,473.48,899.72,3.52,0.53,1.86,0.62,14.36,10.98,0.066,0.101,1.76,7.11,33.6,23.3,92.6,102.9,0.035,4640,118328.0,0.128
Company_01484,15.7,3.96,0.252,0.187,0.167,0.381,0.188,0.644,0.054,0.146,0.114,0.121,6.38,38.36,1.61,0.17,3.0,1.51,9.05,0.31,0.031,0.098,0.9,5.02,44.7,42.3,89.9,92.3,0.304,3545,4429.0,0.354
Company_01485,331.34,35.78,0.108,0.258,0.128,-0.086,0.282,0.297,0.055,0.056,0.063,0.119,216.83,178.62,6.06,1.21,3.0,1.2,11.99,6.63,0.015,-0.028,0.43,8.87,76.9,59.0,34.4,52.3,0.183,2510,132008.0,0.23
Company_01486,372.8,71.2,0.191,0.275,-0.007,0.341,0.25,0.432,0.281,0.185,0.068,0.152,200.78,768.96,2.82,0.26,1.37,1.31,6.45,7.46,0.031,0.181,1.59,7.4,58.0,68.3,65.2,54.9,0.115,2568,145171.0,0.195
